ScoreEval,Method,Score,BaseDep,BaseDist,EvalDate
Energy,JPP,38.4851561753531,bootstrap,joint,2019-12-27
Energy,BTTH,38.9043314754534,bootstrap,joint,2019-12-27
Energy,OLS,13.685633401598851,bootstrap,joint,2019-12-27
Energy,WLS,12.958148469655658,bootstrap,joint,2019-12-27
Energy,MinTSam,18.373784375932054,bootstrap,joint,2019-12-27
Energy,MinTShr,18.250078843639233,bootstrap,joint,2019-12-27
Energy,ScoreOptE,14.967327147689465,bootstrap,joint,2019-12-27
Energy,ScoreOptEIn,14.956469702211313,bootstrap,joint,2019-12-27
Energy,ScoreOptV,14.102856206383713,bootstrap,joint,2019-12-27
Energy,ScoreOptVIn,14.859664206387192,bootstrap,joint,2019-12-27
Variogram,Base,7264.158834172784,bootstrap,joint,2019-12-27
Variogram,BottomUp,3274.509344620359,bootstrap,joint,2019-12-27
Variogram,JPP,5104.168566812735,bootstrap,joint,2019-12-27
Variogram,BTTH,9684.955327141453,bootstrap,joint,2019-12-27
Variogram,OLS,5763.946873446927,bootstrap,joint,2019-12-27
Variogram,WLS,5088.390680779968,bootstrap,joint,2019-12-27
Variogram,MinTSam,11181.02438039501,bootstrap,joint,2019-12-27
Variogram,MinTShr,11910.368440149039,bootstrap,joint,2019-12-27
Variogram,ScoreOptE,6386.744317841579,bootstrap,joint,2019-12-27
Variogram,ScoreOptEIn,7300.4708835723995,bootstrap,joint,2019-12-27
Variogram,ScoreOptV,5327.169042008023,bootstrap,joint,2019-12-27
Variogram,ScoreOptVIn,7066.467479717824,bootstrap,joint,2019-12-27
Energy,Base,148.04398598530156,gaussian,independent,2019-12-28
Energy,BottomUp,122.36867925983998,gaussian,independent,2019-12-28
Energy,JPP,426.03179398605226,gaussian,independent,2019-12-28
Energy,BTTH,362.81350137765287,gaussian,independent,2019-12-28
Energy,OLS,112.34290685603116,gaussian,independent,2019-12-28
Energy,WLS,101.58812696383627,gaussian,independent,2019-12-28
Energy,MinTSam,116.37377924825168,gaussian,independent,2019-12-28
Energy,MinTShr,72.81288525674839,gaussian,independent,2019-12-28
Energy,ScoreOptE,30.778929607681093,gaussian,independent,2019-12-28
Energy,ScoreOptEIn,78.66528888653082,gaussian,independent,2019-12-28
Energy,ScoreOptV,38.853238907341414,gaussian,independent,2019-12-28
Energy,ScoreOptVIn,84.06497536577986,gaussian,independent,2019-12-28
Variogram,Base,847981.6776188344,gaussian,independent,2019-12-28
Variogram,BottomUp,711295.2778289464,gaussian,independent,2019-12-28
Variogram,JPP,470613.1774864203,gaussian,independent,2019-12-28
Variogram,BTTH,705760.643970352,gaussian,independent,2019-12-28
Variogram,OLS,515109.19865330093,gaussian,independent,2019-12-28
Variogram,WLS,462618.9297117751,gaussian,independent,2019-12-28
Variogram,MinTSam,400159.8748216899,gaussian,independent,2019-12-28
Variogram,MinTShr,167736.94279734828,gaussian,independent,2019-12-28
Variogram,ScoreOptE,31347.29568571754,gaussian,independent,2019-12-28
